Document Name : Outbound Reference Report,,,,,,,,,,,,,,,,
Warehouse : WHS01,,,,,,,,,,,,,,,,
Outbound Reference Report as of 03 Jun 2025 01:58:19 PM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No,BU,Job No,Delivery Date,Delivery Note,Section Code,Delivery To,Remark,Package Count,Plan Qty,Plan PID,Allocated PID,Total Package,Picked PID,Packed PID,Loaded PID,Status
63,PL AUTO 2,OUT202506000E2,03-Jun-2025 00:00:00,0082135077,,PT DENSO INDONESIA,DENSO MILKRUN SEQ 1 TGL  3-Jun-25,1,1000,40,0,0,0,0,40,Loaded
64,PL AUTO,OUT202506000DA,03-Jun-2025 00:00:00,0082135081,,PT MINEBEA ACCESSSOLUTIONS INDONESIA,MINEBEA - FACT 2 TGL 03/06/25 (KIRIM PAGI),1,1000,40,0,0,0,0,40,Loaded
65,PL AUTO 2,OUT202506000D9,03-Jun-2025 00:00:00,0082135074,,PT DENSO INDONESIA,DENSO MILKRUN SEQ 1 TGL  3-Jun-25,1,1000,40,0,0,0,0,40,Loaded
66,PL AUTO 2,OUT202506000D3,03-Jun-2025 00:00:00,0082135076,,PT DENSO INDONESIA,DENSO MILKRUN SEQ 1 TGL  3-Jun-25,1,1000,40,0,0,0,0,40,Loaded
67,PL AUTO,OUT202506000D1,03-Jun-2025 22:00:00,1275705-1,,PT SUGITY CREATIVES,SUGITY SEQ 3 TGL 03/06/25 (FACT 1),0,2575,103,0,0,0,0,0,NewJob
68,PL AUTO 2,OUT202506000CC,03-Jun-2025 00:00:00,0082135075,,PT DENSO INDONESIA,DENSO MILKRUN SEQ 2 TGL  3-Jun-25,1,1000,40,0,0,0,0,40,Loaded
69,PL AUTO 2,OUT202506000C6,03-Jun-2025 00:00:00,0082135023,,PT YASUFUKU INDONESIA,YASUFUKU TGL  3-Jun-25,1,1000,50,0,0,0,0,50,Loaded
70,PL AUTO 2,OUT202506000BE,03-Jun-2025 00:00:00,0082135003,,PT IKUYO INDONESIA,IKUYO TGL  3-Jun-25 (PICKK UP BY NAGAI),1,300,12,0,0,0,0,12,Loaded
71,PL AUTO 2,OUT202506000BD,03-Jun-2025 00:00:00,0082134995,,PT TORICA INDONESIA,TORICA (PICK UP) TGL  3-Jun-25,0,375,0,0,0,0,0,0,NewJob
72,PL AUTO 2,OUT202506000B9,03-Jun-2025 00:00:00,0082134987,,PT. ITOMOL INDONESIA,ITOMOL TGL  3-Jun-25,2,1000,40,0,0,0,0,40,Loaded
